State,Teen births,High school graduation,Some college,Infant mortality,Child mortality,Children eligible for free lunch
VA,44.1,0.77,0.556,,97,0.322
VA,39.7,0.76,0.534,,,
VA,29.1,,0.489,7.5,50,0.29
VA,27.4,,0.496,7.3,34.9,
VA,43.1,0.8,0.468,,83.6,0.442
VA,46.1,0.81,0.478,,64.3,
VA,24.8,0.87,0.672,,50.6,0.23
VA,25.8,0.91,0.655,,55.7,
VA,50.7,0.9,0.485,,82.4,0.469
VA,49.2,0.88,0.526,,90.4,
VA,42.1,0.84,0.487,,45.9,0.329
VA,39.6,0.9,0.496,,38,
VA,58.9,0.77,0.484,,62.2,0.478
VA,58.7,0.84,0.5,,53,
VA,32.6,0.78,0.528,,88.3,0.363
VA,29.9,0.79,0.559,,77.9,
VA,29.6,0.82,0.599,7.5,62.7,0.238
VA,28.5,0.83,0.583,8.6,61.6,
VA,22.5,0.89,0.681,6.8,50.1,0.173
VA,21.4,0.89,0.691,7,41.9,
VA,36.2,0.704,0.625,,60,0.448
VA,35.6,0.757,0.558,,54.6,
VA,36.8,0.77,0.649,10,49.9,0.351
VA,34.2,0.79,0.664,9,53.8,
VA,30.7,0.875,0.547,,,0.482
VA,27.2,0.825,0.457,,,
VA,59.8,0.725,0.247,,,0.693
VA,54.5,0.725,0.282,,,
VA,49.2,0.72,0.501,,73.1,0.403
VA,48.5,0.74,0.501,6.3,83.2,
VA,28.2,0.82,0.747,7.8,52.5,0.23
VA,27.2,0.83,0.759,7.5,54.5,
VA,33.1,0.87,0.505,6.1,44,0.307
VA,31.7,0.88,0.493,,61.2,
VA,45.2,0.84,0.623,5.9,64.7,0.353
VA,45.5,0.86,0.592,8.8,72.5,
VA,61.4,0.75,0.466,,73,0.484
VA,58.3,0.76,0.474,,81.3,
VA,49.7,0.691,0.405,,92.1,0.561
VA,46,0.869,0.421,,,
VA,9.3,,0.794,,,0.32
VA,7.8,0.85,0.738,,,
VA,56.4,0.826,0.562,9.9,83.6,0.4
VA,54.1,0.836,0.568,10.1,88.9,
VA,57.7,0.84,0.459,8.5,54.8,0.471
VA,57.7,0.83,0.479,7.3,67.1,
VA,45.2,0.78,0.505,,57,0.39
VA,46.2,0.82,0.482,,49.6,
VA,11.7,0.91,0.783,,34.7,0.129
VA,10.9,0.91,0.785,,25.1,
